lat,lon,k12,fire_station
51.52834741,-0.10498333,11.0,4.0
51.51804796,-0.13568,0.0,0.0
51.51240299,-0.12005738,0.0,0.0
51.54660907,-0.17922278,1.0,3.0
51.53655165,-0.11185229,11.0,4.0
51.54721553,-0.16044878,3.0,6.0
51.53874067,-0.13627619,7.0,2.0
51.49971948,-0.17100758,5.0,8.0
51.50622739,-0.12751674,0.0,0.0
51.56477949,-0.13376857,6.0,6.0
51.51862442,-0.1154769,0.0,0.0
51.51337083,-0.12434121,0.0,0.0
51.51708051,-0.13139549,0.0,0.0
51.5288093,-0.13379851,7.0,2.0
51.51596351,-0.17468054,10.0,11.0
51.51580618,-0.1645977,10.0,11.0
51.52516869,-0.13106423,7.0,2.0
51.53325686,-0.13073285,7.0,2.0
51.51689639,-0.11987228,0.0,0.0
51.51915197,-0.14860762,4.0,2.0
51.52537072,-0.08780753,11.0,9.0
51.49751506,-0.14516279,9.0,5.0
51.51631918,-0.1400746,4.0,0.0
51.50708005,-0.12459971,0.0,0.0
51.49740099,-0.13796379,9.0,7.0
51.51254116,-0.12869893,0.0,0.0
51.54735078,-0.16909709,3.0,3.0
51.51318603,-0.11281899,0.0,0.0
51.55175414,-0.16315052,3.0,6.0
51.51964786,-0.18029884,10.0,11.0
51.51705756,-0.12995507,0.0,0.0
51.52018676,-0.1572143,4.0,11.0
51.55975373,-0.10079249,2.0,1.0
51.52541768,-0.09068881,11.0,9.0
51.49825392,-0.13504749,9.0,7.0
51.51148121,-0.11865417,0.0,0.0
51.50744307,-0.20528297,8.0,10.0
51.49663912,-0.14663906,9.0,5.0
51.52440738,-0.13974488,7.0,2.0
51.55053746,-0.20070181,1.0,3.0
51.56551723,-0.12363824,6.0,1.0
51.5271491,-0.14251641,7.0,2.0
51.518073,-0.19477535,8.0,11.0
51.54955018,-0.1949713,1.0,3.0
51.51081264,-0.13309325,0.0,0.0
51.51486237,-0.16175312,4.0,11.0
51.51764863,-0.16740633,10.0,11.0
51.51959243,-0.11976121,0.0,0.0
51.51326739,-0.17478837,10.0,11.0
51.53150536,-0.13368823,7.0,2.0
51.50986807,-0.13024965,0.0,0.0
51.5429022,-0.17216004,3.0,3.0
51.52330238,-0.12681604,0.0,2.0
51.49567209,-0.1423563,9.0,7.0
51.55337046,-0.1515455,3.0,6.0
51.53166441,-0.20144643,8.0,10.0
51.51378252,-0.15026668,4.0,0.0
51.5181173,-0.19765633,8.0,11.0
51.51168839,-0.13161626,0.0,0.0
51.55811956,-0.11095891,2.0,1.0
51.51780572,-0.17748958,10.0,11.0
51.54305893,-0.18224889,1.0,3.0
51.54867199,-0.1387549,7.0,6.0
51.51362311,-0.14018448,4.0,0.0
51.52373749,-0.09796699,11.0,9.0
51.53397134,-0.11916852,7.0,2.0
51.55246725,-0.20928043,1.0,3.0
51.49304434,-0.14678493,9.0,5.0
51.53207285,-0.16971045,10.0,11.0
51.51074379,-0.12877262,0.0,0.0
51.51542048,-0.14011123,4.0,0.0
51.53389272,-0.17107929,10.0,11.0
51.50993687,-0.13457019,0.0,0.0
51.54939451,-0.18488096,1.0,3.0
51.53222013,-0.12212438,7.0,2.0
51.52609032,-0.13246811,7.0,2.0
51.52131088,-0.17158367,10.0,11.0
51.49749227,-0.14372298,9.0,7.0
51.51164248,-0.12873577,0.0,0.0
51.49466198,-0.19281962,5.0,8.0
51.54883158,-0.14884481,3.0,6.0
51.49571767,-0.14523579,9.0,5.0
51.48960835,-0.15700764,9.0,5.0
51.52054657,-0.18026301,10.0,11.0
51.49019056,-0.194437,5.0,8.0
51.52681517,-0.1785713,10.0,11.0
51.50901527,-0.13316676,0.0,0.0
51.51869376,-0.11979823,0.0,0.0
51.50636501,-0.13615716,0.0,0.0
51.52059122,-0.18314412,10.0,11.0
51.51436709,-0.18771568,10.0,11.0
51.55007806,-0.11417685,2.0,1.0
51.51580618,-0.1645977,10.0,11.0
51.53880927,-0.14059949,7.0,6.0
51.54608654,-0.08982325,11.0,4.0
51.5052827,-0.12467355,0.0,0.0
51.55671439,-0.13554129,6.0,6.0
51.53007482,-0.10058628,11.0,4.0
51.51344611,-0.18631103,10.0,11.0
51.49917549,-0.13645064,9.0,7.0
51.52526034,-0.13682689,7.0,2.0
51.48273368,-0.17744841,5.0,5.0
51.52227686,-0.17586947,10.0,11.0
51.49556071,-0.19278406,5.0,8.0
51.52101196,-0.21051512,8.0,10.0
51.52120453,-0.10816295,11.0,9.0
51.5340175,-0.12205038,7.0,2.0
51.51438933,-0.18915606,10.0,11.0
51.48765218,-0.1470036,9.0,5.0
51.49111015,-0.1382202,9.0,7.0
51.50887742,-0.12452586,0.0,0.0
51.51854732,-0.16737023,10.0,11.0
51.53044581,-0.12363919,7.0,2.0
51.51256966,-0.18778706,10.0,11.0
51.52947794,-0.11935379,7.0,2.0
51.51281562,-0.14598224,4.0,0.0
51.48731655,-0.18302737,5.0,5.0
51.53376269,-0.10620021,11.0,4.0
51.51977656,-0.13128508,0.0,0.0
51.52865729,-0.18138116,10.0,11.0
51.51532899,-0.13434979,0.0,0.0
51.51240299,-0.12005738,0.0,0.0
51.54463969,-0.11151734,2.0,4.0
51.51378252,-0.15026668,4.0,0.0
51.52763435,-0.11654642,0.0,2.0
51.54920256,-0.11565543,2.0,1.0
51.51982242,-0.13416608,0.0,0.0
51.49196583,-0.19292629,5.0,8.0
51.55263026,-0.16167277,3.0,6.0
51.5253942,-0.08924817,11.0,9.0
51.52016412,-0.15577376,4.0,11.0
51.48183497,-0.17748421,5.0,5.0
51.51771605,-0.1717277,10.0,11.0
51.54467715,-0.17064667,3.0,3.0
51.51643029,-0.20492954,8.0,10.0
51.54632066,-0.10423628,2.0,4.0
51.49730941,-0.13220463,9.0,7.0
51.51299717,-0.15750459,4.0,11.0
51.50989103,-0.13168982,0.0,0.0
51.53993671,-0.09873339,11.0,4.0
51.5572209,-0.11099611,2.0,1.0
51.49567209,-0.1423563,9.0,7.0
51.55627014,-0.16441116,3.0,6.0
51.55811956,-0.11095891,2.0,1.0
51.52108546,-0.157178,4.0,11.0
51.51164248,-0.12873577,0.0,0.0
51.49027994,-0.14257553,9.0,7.0
51.51245818,-0.18058551,10.0,11.0
51.52548802,-0.09501076,11.0,9.0
51.51735459,-0.14868054,4.0,0.0
51.51683979,-0.17320415,10.0,11.0
51.53964216,-0.1939215,1.0,3.0
51.51244912,-0.12293788,0.0,0.0
51.54851153,-0.12866507,6.0,6.0
51.5377781,-0.18966937,1.0,3.0
51.51387324,-0.15602798,4.0,0.0
51.51387324,-0.15602798,4.0,0.0
51.57003355,-0.12489538,6.0,1.0
51.51894664,-0.13564329,0.0,0.0
51.51579482,-0.22225003,8.0,10.0
51.53359934,-0.09611385,11.0,4.0
51.55849291,-0.19173216,1.0,3.0
51.49113357,-0.19728077,5.0,8.0
51.53145949,-0.1308065,7.0,2.0
51.52616144,-0.19445529,8.0,11.0
51.51647435,-0.20781044,8.0,10.0
51.55443183,-0.10534158,2.0,1.0
51.49576317,-0.14811529,9.0,5.0
51.52198415,-0.1571417,4.0,11.0
51.52321024,-0.12105366,0.0,2.0
51.51366874,-0.14306511,4.0,0.0
51.53429297,-0.13934172,7.0,2.0
51.49567209,-0.1423563,9.0,7.0
51.51943337,-0.22499108,8.0,10.0
51.51331218,-0.17766902,10.0,11.0
51.5053287,-0.12755361,0.0,0.0
51.54553835,-0.11148013,2.0,4.0
51.54640706,-0.16625046,3.0,3.0
51.50896939,-0.13028646,0.0,0.0
51.54997932,-0.1646644,3.0,6.0
51.51645589,-0.148717,4.0,0.0
51.5170116,-0.12707427,0.0,0.0
51.56473359,-0.13088475,6.0,6.0
51.51456665,-0.20067909,8.0,10.0
51.55977709,-0.1022342,2.0,1.0
51.5259524,-0.123824,0.0,2.0
51.54682886,-0.13594558,7.0,6.0
51.54927194,-0.11997966,2.0,1.0
51.4930898,-0.14966425,9.0,5.0
51.51454462,-0.1415882,4.0,0.0
51.49230445,-0.15689887,9.0,5.0
51.53376269,-0.10620021,11.0,4.0
51.53274745,-0.09903312,11.0,4.0
51.48580926,-0.1441976,9.0,7.0
51.55725887,-0.17014181,3.0,3.0
51.52631634,-0.0906512,11.0,9.0
51.52786475,-0.13095378,7.0,2.0
51.52366728,-0.0936452,11.0,9.0
51.5388549,-0.14348168,7.0,6.0
51.5253472,-0.08636688,11.0,9.0
51.51979951,-0.13272558,0.0,0.0
51.51164248,-0.12873577,0.0,0.0
51.52659658,-0.10793937,11.0,4.0
51.51074379,-0.12877262,0.0,0.0
51.54853451,-0.13010648,6.0,6.0
51.5467601,-0.13162153,7.0,6.0
51.52947794,-0.11935379,7.0,2.0
51.52703797,-0.19297894,8.0,11.0
51.50447596,-0.13047049,0.0,0.0
51.51580618,-0.1645977,10.0,11.0
51.56383494,-0.13092159,6.0,6.0
51.54500858,-0.13457777,7.0,6.0
51.52276862,-0.09368276,11.0,9.0
51.51602079,-0.12134967,0.0,0.0
51.49356289,-0.17989772,5.0,5.0
51.55157309,-0.15161837,3.0,6.0
51.54360137,-0.10290717,2.0,4.0
51.51318603,-0.11281899,0.0,0.0
51.48940403,-0.14405161,9.0,5.0
51.55636019,-0.17017787,3.0,3.0
51.51272441,-0.1402211,4.0,0.0
51.54687462,-0.13882828,7.0,6.0
51.51739507,-0.20921562,8.0,10.0
51.53998342,-0.10161561,11.0,4.0
51.54778963,-0.08398263,11.0,4.0
51.52497298,-0.17576168,10.0,11.0
51.54941022,-0.12862819,6.0,1.0
51.52021281,-0.10243826,11.0,9.0
51.49104492,-0.1915222,5.0,8.0
51.54577738,-0.18358274,1.0,3.0
51.51995897,-0.20046645,8.0,10.0
51.55109239,-0.12134702,2.0,1.0
51.51578363,-0.1631573,4.0,11.0
51.49663912,-0.14663906,9.0,5.0
51.53281744,-0.10335576,11.0,4.0
51.48873226,-0.15848342,9.0,5.0
51.51746803,-0.15588273,4.0,11.0
51.51157347,-0.12441508,0.0,0.0
51.54371096,-0.16635889,3.0,3.0
51.52122092,-0.16582138,10.0,11.0
51.56535525,-0.11354498,2.0,1.0
51.48098097,-0.18039863,5.0,5.0
51.50823096,-0.14040418,4.0,0.0
51.53021451,-0.10923107,11.0,4.0
51.50175694,-0.12914096,0.0,0.0
51.54395764,-0.18221306,1.0,3.0
51.54577738,-0.18358274,1.0,3.0
51.52728533,-0.0949357,11.0,9.0
51.52940858,-0.11503144,11.0,2.0
51.54807129,-0.10127879,2.0,4.0
51.52679279,-0.17713054,10.0,11.0
51.50730943,-0.13900068,4.0,0.0
51.56551723,-0.12363824,6.0,1.0
51.56551723,-0.12363824,6.0,1.0
51.51277005,-0.14310167,4.0,0.0
51.51244912,-0.12293788,0.0,0.0
51.54067124,-0.08860802,11.0,4.0
51.52337131,-0.13113785,0.0,2.0
51.51811656,-0.14000134,4.0,0.0
51.52583699,-0.11662061,0.0,2.0
51.53499288,-0.18401232,1.0,11.0
51.56627709,-0.11494973,2.0,1.0
51.56003282,-0.11809316,2.0,1.0
51.5517767,-0.16459206,3.0,6.0
51.50966075,-0.11728809,0.0,0.0
51.53286402,-0.10623753,11.0,4.0
51.55613575,-0.09950051,2.0,1.0
51.54763582,-0.13014333,7.0,6.0
51.55305088,-0.13136369,6.0,6.0
51.48850534,-0.14408811,9.0,5.0
51.54549187,-0.10859753,2.0,4.0
51.518185,-0.14432271,4.0,2.0
51.48462042,-0.18313452,5.0,5.0
51.52482245,-0.10945454,11.0,4.0
51.49154118,-0.16557289,5.0,5.0
51.50901527,-0.13316676,0.0,0.0
51.51862442,-0.1154769,0.0,0.0
51.51683979,-0.17320415,10.0,11.0
51.51770259,-0.11407359,0.0,0.0
51.48760665,-0.14412461,9.0,7.0
51.51422343,-0.12142366,0.0,0.0
51.51171133,-0.13305649,0.0,0.0
51.50913011,-0.19801122,8.0,8.0
51.51867066,-0.11835779,0.0,0.0
51.50138184,-0.1622959,4.0,8.0
51.52261,-0.13981817,4.0,2.0
51.51161949,-0.12729553,0.0,0.0
51.53609035,-0.13926839,7.0,2.0
51.55036004,-0.18916971,1.0,3.0
51.51274725,-0.14166139,4.0,0.0
51.5391314,-0.10453521,11.0,4.0
51.52020938,-0.15865483,4.0,11.0
51.49430477,-0.1697838,5.0,5.0
51.52740215,-0.10213923,11.0,4.0
51.52301832,-0.16574912,10.0,11.0
51.52272172,-0.09080164,11.0,9.0
51.54267938,-0.10150335,11.0,4.0
51.49567209,-0.1423563,9.0,7.0
51.48605875,-0.16003152,9.0,5.0
51.54272604,-0.10438576,2.0,4.0
51.51422343,-0.12142366,0.0,0.0
51.52510708,-0.18440588,10.0,11.0
51.50901527,-0.13316676,0.0,0.0
51.50816239,-0.13608378,0.0,0.0
51.5572209,-0.11099611,2.0,1.0
51.53753243,-0.17381728,10.0,3.0
51.54383367,-0.11731953,2.0,1.0
51.52249999,-0.19027567,10.0,11.0
51.55286663,-0.11983141,2.0,1.0
51.49320315,-0.15686262,9.0,5.0
51.55049222,-0.14012298,6.0,6.0
51.51256966,-0.18778706,10.0,11.0
51.52521455,-0.13394556,7.0,2.0
51.50887742,-0.12452586,0.0,0.0
51.52072478,-0.19178754,8.0,11.0
51.51445321,-0.13582686,0.0,0.0
51.49571767,-0.14523579,9.0,5.0
51.52141287,-0.12112766,0.0,0.0
51.5253942,-0.08924817,11.0,9.0
51.56088515,-0.11517255,2.0,1.0
51.49958443,-0.16236824,5.0,5.0
51.4938747,-0.14242939,9.0,7.0
51.4958086,-0.15099479,9.0,5.0
51.5569425,-0.14995803,3.0,6.0
51.48933561,-0.13973298,9.0,7.0
51.51389587,-0.15746831,4.0,0.0
51.49014282,-0.13393811,9.0,7.0
51.53293375,-0.11056021,11.0,2.0
51.55021679,-0.1228255,2.0,1.0
51.51274725,-0.14166139,4.0,0.0
51.56088515,-0.11517255,2.0,1.0
51.51426952,-0.12430428,0.0,0.0
51.53981959,-0.09152787,11.0,4.0
51.51429254,-0.1257446,0.0,0.0
51.50903818,-0.13460692,0.0,0.0
51.51067479,-0.12445201,0.0,0.0
51.52000313,-0.20334756,8.0,10.0
51.53089791,-0.21012726,8.0,10.0
51.52106484,-0.09951989,11.0,9.0
51.51267871,-0.13734055,0.0,0.0
51.57173848,-0.11905307,6.0,1.0
51.56309654,-0.14105148,6.0,6.0
51.52434183,-0.19308573,8.0,11.0
51.54240478,-0.19813847,1.0,3.0
51.54784181,-0.14311574,7.0,6.0
51.52770366,-0.12086861,0.0,2.0
51.5699643,-0.12056925,6.0,1.0
51.53611319,-0.1407094,7.0,2.0
51.54761285,-0.12870197,7.0,6.0
51.51468123,-0.15023025,4.0,0.0
51.51557992,-0.15019382,4.0,0.0
51.49621431,-0.17691069,5.0,5.0
51.52325634,-0.12393484,0.0,2.0
51.52765747,-0.11798715,0.0,2.0
51.51744537,-0.15444229,4.0,2.0
51.54606596,-0.2023205,1.0,3.0
51.54692048,-0.19940224,1.0,3.0
51.54475547,-0.11872367,2.0,1.0
